epoch,train_loss,train_correlation,train_spearman,val_loss,val_correlation,val_spearman,learning_rate,epoch_duration_seconds,is_best
1,0.23450132417426983,0.17924119379898154,0.24892889019493603,0.18338911695913834,0.2759518275471811,0.2749145236598157,0.0005,3.820775032043457,True
2,0.1518582509646953,0.4589042053305409,0.47867414985199974,0.16710216728123753,0.3281253505232811,0.35566325826379525,0.0005,1.3185513019561768,True
3,0.14066956601512265,0.5160526604781245,0.5370818735784515,0.1650761127471924,0.33391125813149214,0.3559052435589575,0.0005,1.2327044010162354,True
4,0.13351820409297943,0.547476176628448,0.5717178597252252,0.1565560521049933,0.34918641070926376,0.34967083050702247,0.0005,1.2662274837493896,True
5,0.13419913390362767,0.5441149331659983,0.5664651092604063,0.17873761044307188,0.33680411499824997,0.3445208837997697,0.0005,1.213073968887329,False
6,0.12828950185171314,0.5699508157065718,0.5911159837653333,0.17818806266242807,0.338481906077093,0.3401194329258833,0.0005,1.3102443218231201,False
7,0.1254393574847302,0.5849070818773219,0.6081039283676708,0.16054890751838685,0.3745672900079809,0.37977486007647215,0.0005,1.2800321578979492,True
8,0.12315484965351266,0.5987159876912747,0.6288775153773344,0.18744578944011167,0.2963820213031253,0.3120987011084933,0.0005,1.2501237392425537,False
9,0.12324940449964832,0.593605788894407,0.6289023035344965,0.175626616044478,0.3064798784870679,0.30645123069505964,0.0005,1.2329990863800049,False
10,0.12188777421981516,0.599782871222538,0.6250800692137064,0.15373185751113025,0.38828470676294863,0.39467080271223803,0.0005,1.2807624340057373,True
11,0.11557225001529908,0.6254266335077578,0.644201131384284,0.164484964446588,0.3947348799587107,0.4095660158539718,0.0005,1.2401070594787598,True
12,0.11741824668477958,0.6179852735852764,0.6510509802735525,0.17700855244289745,0.3994527541118921,0.43247415348823137,0.0005,1.2332510948181152,True
13,0.11124674351492399,0.6401988009022896,0.6641618479620598,0.16349687725305556,0.3737577811761562,0.3919600279893778,0.0005,1.2313687801361084,False
14,0.1148385657391078,0.6254020712755363,0.6545555784532133,0.15657139014114033,0.3899060181270535,0.40020243725686594,0.0005,1.2972028255462646,False
15,0.11292348219685151,0.6350669276889545,0.6573293402555204,0.14965853555635972,0.40715959373431776,0.41787636548240026,0.0005,1.26943039894104,True
16,0.1073597263492329,0.658512474738935,0.6863542744160321,0.16228074702349576,0.40193242569627563,0.41238307428148246,0.0005,1.2231330871582031,False
17,0.10763843032255979,0.6541861115832078,0.6803578597473381,0.1656880118630149,0.38894095994056543,0.4032638515690505,0.0005,1.2656233310699463,False
18,0.11030897597821665,0.6686237373549228,0.6926987981916298,0.1708946012637832,0.37183344012275915,0.3875270760195511,0.0005,1.2501988410949707,False
19,0.10493439666821923,0.6717286266182765,0.6836510665693132,0.14498893903060392,0.42144882126020833,0.4379368042893398,0.0005,1.2660377025604248,True
20,0.10194569133536917,0.6792591812511938,0.6962450341299292,0.17674578699198637,0.3765077955591196,0.411551129540675,0.0005,1.2532527446746826,False
